SubjectCode,CollegeName,Roll
25811,74042 - Chakria Polytechnic Institute,"689367" 
25831,74009 - Cox's Bazar Polytechnic Institute,"190381, 689037, 689070, 689107, 689254" 
25841,74009 - Cox's Bazar Polytechnic Institute,"688847, 688873, 688916, 688922, 688929, 689015, 689037, 689070, 689082, 689105, 689107, 689115" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689277, 689287, 690598" 
25922,74009 - Cox's Bazar Polytechnic Institute,"688847, 689037" 
25931,74009 - Cox's Bazar Polytechnic Institute,"688782, 688894, 688957, 688959, 688971, 688979, 689146, 689148, 689150, 689154, 689186, 689238, 689246, 689249, 689252, 689254, 689260" 
26211,74009 - Cox's Bazar Polytechnic Institute,"689162" 
26411,74009 - Cox's Bazar Polytechnic Institute,"189263" 
26431,74009 - Cox's Bazar Polytechnic Institute,"688854" 
,74026 - Cox's Bazar Model Polytechnic Institute,"690598" 
26432,74009 - Cox's Bazar Polytechnic Institute,"688791, 688816, 688854" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689269" 
26441,74009 - Cox's Bazar Polytechnic Institute,"688800, 688847" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689277" 
26442,74009 - Cox's Bazar Polytechnic Institute,"688847" 
26443,74009 - Cox's Bazar Polytechnic Institute,"688847" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689277" 
26444,74009 - Cox's Bazar Polytechnic Institute,"189262, 189263, 681439, 688768, 688774, 688782, 688805, 688837, 688847, 688853, 688854" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689269, 689277, 689281" 
26445,74009 - Cox's Bazar Polytechnic Institute,"688841, 688847" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689290" 
26446,74009 - Cox's Bazar Polytechnic Institute,"688847" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689291" 
26521,74009 - Cox's Bazar Polytechnic Institute,"688847" 
26711,74009 - Cox's Bazar Polytechnic Institute,"688916, 689070, 689105, 689260" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689277" 
26712,74009 - Cox's Bazar Polytechnic Institute,"190378, 190379, 190380" 
26721,74009 - Cox's Bazar Polytechnic Institute,"688916" 
26722,74009 - Cox's Bazar Polytechnic Institute,"190379, 190380" 
26741,74009 - Cox's Bazar Polytechnic Institute,"190379, 190380, 688915, 688916" 
26742,74009 - Cox's Bazar Polytechnic Institute,"190380, 688855, 688856, 688871, 688873, 688884, 688888, 688929" 
26743,74009 - Cox's Bazar Polytechnic Institute,"190380" 
26811,74009 - Cox's Bazar Polytechnic Institute,"688800, 688807, 688956, 688957, 688959, 688960, 688971, 688972, 688975, 688977, 688997, 689082, 689085, 689086, 689092, 689096, 689097, 689100, 689105, 689106, 689107, 689112, 689122, 689128, 689129, 689130, 689132, 689138, 689142, 689146, 689148, 689151, 689154, 689167, 689211" 
,74040 - Saikat Polytechnic Institute,"689330, 689349" 
26831,74009 - Cox's Bazar Polytechnic Institute,"689186, 689221, 689254, 689260" 
,74040 - Saikat Polytechnic Institute,"689346" 
26833,74042 - Chakria Polytechnic Institute,"689364" 
26841,74009 - Cox's Bazar Polytechnic Institute,"190381, 689186, 689232, 689246, 689254, 689260, 689263" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689318" 
,74040 - Saikat Polytechnic Institute,"689349" 
26845,74009 - Cox's Bazar Polytechnic Institute,"189630, 190378, 190380, 688855, 688861, 688865, 688871, 688873, 688876, 688881, 688887, 688888, 688892, 688898, 688900, 688916, 688929" 
,74042 - Chakria Polytechnic Institute,"190383" 
26911,74009 - Cox's Bazar Polytechnic Institute,"689037" 
26932,74009 - Cox's Bazar Polytechnic Institute,"688971" 
26941,74009 - Cox's Bazar Polytechnic Institute,"688959, 688979, 689004, 689015, 689037, 689051, 689070, 689072, 689081" 
26942,74009 - Cox's Bazar Polytechnic Institute,"689037, 689047, 689070" 
26943,74009 - Cox's Bazar Polytechnic Institute,"688959, 689015, 689026, 689037, 689047, 689052, 689070, 689072, 689076, 689077, 689081, 689082" 
26944,74009 - Cox's Bazar Polytechnic Institute,"689037, 689070, 689079, 689081" 
26945,74009 - Cox's Bazar Polytechnic Institute,"689015, 689037, 689070" 
27012,74009 - Cox's Bazar Polytechnic Institute,"689107, 689139" 
27031,74009 - Cox's Bazar Polytechnic Institute,"689148" 
27041,74009 - Cox's Bazar Polytechnic Institute,"689037, 689070, 689086, 689097, 689106, 689107, 689112, 689122, 689128, 689132, 689135, 689138, 689142, 689144, 689146, 689148, 689150, 689154, 689162, 689167" 
27044,74009 - Cox's Bazar Polytechnic Institute,"190378, 190379, 190380, 688884, 688887, 688888, 688889, 688894, 688898, 688899, 688915, 688916, 688929" 
,74042 - Chakria Polytechnic Institute,"190383, 689362" 
27131,74009 - Cox's Bazar Polytechnic Institute,"689107, 689132, 689138" 
27241,74009 - Cox's Bazar Polytechnic Institute,"689086, 689107, 689132, 689150, 689154" 
27242,74009 - Cox's Bazar Polytechnic Institute,"689107, 689148, 689162" 
28511,74009 - Cox's Bazar Polytechnic Institute,"689107" 
28531,74009 - Cox's Bazar Polytechnic Institute,"689187, 689194, 689211, 689221, 689230, 689232, 689235, 689254, 689260" 
28533,74009 - Cox's Bazar Polytechnic Institute,"689221" 
,74040 - Saikat Polytechnic Institute,"689353" 
28541,74009 - Cox's Bazar Polytechnic Institute,"190381, 689186, 689211, 689215, 689246, 689254, 689260" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689319" 
,74040 - Saikat Polytechnic Institute,"689349" 
,74042 - Chakria Polytechnic Institute,"689368" 
28542,74009 - Cox's Bazar Polytechnic Institute,"189265, 190381, 689186, 689187, 689221, 689230, 689232, 689254" 
28543,74009 - Cox's Bazar Polytechnic Institute,"689179, 689186, 689232, 689254, 689263" 
28544,74009 - Cox's Bazar Polytechnic Institute,"190381, 689186, 689221, 689254" 
,74026 - Cox's Bazar Model Polytechnic Institute,"689318, 689319" 
,74042 - Chakria Polytechnic Institute,"689368" 
29041,74009 - Cox's Bazar Polytechnic Institute,"689105, 689107, 689186, 689194, 689254" 
